group,rows,accuracy,macro_f1,recall_p1,support_p1,support_p2,support_p3,support_p4
2009,64,0.875,0.810606,0.897436,39,12,12,1
2011,63,0.888889,0.823001,0.888889,36,11,15,1
2010,57,0.894737,0.83136,0.891892,37,10,9,1
2013,101,0.861386,0.865123,0.863636,44,24,27,6
2022,115,0.895652,0.894011,0.892857,56,25,27,7
2018,112,0.919643,0.899605,0.9375,48,29,30,5
2008,19,0.894737,0.901128,1.0,9,5,4,1
2019,118,0.881356,0.904979,0.891304,46,36,31,5
2020,97,0.886598,0.907516,0.928571,42,27,26,2
2015,115,0.886957,0.907578,0.869565,46,28,35,6
2017,139,0.913669,0.915589,0.931034,58,34,38,9
2012,107,0.906542,0.924741,0.913043,46,27,27,7
2021,111,0.927928,0.926223,0.931818,44,26,33,8
2016,134,0.932836,0.944865,0.929825,57,34,35,8
2014,101,0.950495,0.946408,0.93617,47,21,26,7
