case_id,sample_type,incident_id,weak_label_p1p4,priority_recommended,llm_model,legal_citations,activated_rules_summary,explanation_text,fidelity_score,passed,failed_checks,priority_alignment,rule_traceability,signal_coverage,legal_traceability,no_contradiction,confidence_disclaimer
REV-001,balanced_p1,1241431594407,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,0.971429,True,,2.0,2.0,1.714286,2.0,1.0,1.0
REV-002,balanced_p1,1253613608998,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,0.971429,True,,2.0,2.0,1.714286,2.0,1.0,1.0
REV-003,balanced_p1,1284188710078,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,0.95,True,,2.0,2.0,1.5,2.0,1.0,1.0
REV-004,balanced_p1,1284207719057,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,1.0,True,,2.0,2.0,2.0,2.0,1.0,1.0
REV-005,balanced_p1,1284268938207,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,0.971429,True,,2.0,2.0,1.714286,2.0,1.0,1.0
REV-006,balanced_p1,1284279663572,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,0.971429,True,,2.0,2.0,1.714286,2.0,1.0,1.0
REV-007,balanced_p1,1284295430014,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,0.971429,True,,2.0,2.0,1.714286,2.0,1.0,1.0
REV-008,balanced_p1,1284297712741,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,1.0,True,,2.0,2.0,2.0,2.0,1.0,1.0
REV-009,balanced_p1,1284396407503,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,0.971429,True,,2.0,2.0,1.714286,2.0,1.0,1.0
REV-010,balanced_p1,1284654763201,P1,P1,degraded-static-v0.1.0,2,3,Incidente clasificado como MÁXIMA URGENCIA (P1). Reglas activadas: riesgo_vital_textual > 0.500 & signal_accidente_trafico > 0.500 & signal_rescate > 0.500; riesgo_vital_textual > 0.500 & cat_sanitario <= 0.500 & signal_fallecido > 0.500; signal_intoxicacion > 0.500 & signal_varias_llamadas > 0.500.,0.971429,True,,2.0,2.0,1.714286,2.0,1.0,1.0
