incidente_id,tipo_incidente,prioridad_final,confianza,score,n_reglas,reglas,n_ausentes
1285232241865,trafico,P1,media,30.36,1,RD1,9
1285232188140,sanitario,P4,baja,0.0,0,,11
1285232183986,trafico,P4,baja,0.0,0,,11
1285232007230,trafico,P1,media,30.36,1,RD1,9
1285231853669,trafico,P4,baja,0.0,0,,11
1285231511009,trafico,P1,media,30.36,1,RD1,9
1285231218979,trafico,P1,baja,26.6,1,RD1,10
1285231217343,trafico,P1,baja,26.6,1,RD1,10
1285230906142,trafico,P4,baja,0.0,0,,11
1285230904363,trafico,P1,media,30.36,1,RD1,9
1285230900927,trafico,P4,baja,0.0,0,,11
1285230885923,trafico,P4,baja,0.0,0,,11
1285230877944,incendio_vivienda,P1,media,30.36,1,RD1,9
1285230872020,trafico,P1,baja,26.6,1,RD1,10
1285230389440,trafico,P1,baja,26.6,1,RD1,10
1285230388983,trafico,P1,baja,26.6,1,RD1,10
1285230056311,trafico,P1,media,30.36,1,RD1,9
1285229490768,trafico,P1,media,30.36,1,RD1,9
1285228971966,trafico,P1,media,30.36,1,RD1,9
1285228940784,trafico,P1,baja,26.6,1,RD1,10
1285228557259,incendio_vivienda,P4,baja,0.0,0,,11
1285228524750,sanitario,P1,baja,26.6,1,RD1,10
1285228509204,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285228496622,trafico,P1,baja,26.6,1,RD1,10
1285228491347,trafico,P4,baja,0.0,0,,11
1285228490645,trafico,P1,media,30.36,1,RD1,9
1285228488908,trafico,P1,media,30.36,1,RD1,9
1285227815375,trafico,P1,baja,26.6,1,RD1,10
1285227651898,trafico,P4,baja,0.0,0,,11
1285227295416,trafico,P1,baja,26.6,1,RD1,10
1285227284280,trafico,P1,baja,26.6,1,RD1,10
1285227246042,trafico,P1,baja,26.6,1,RD1,10
1285226900854,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285226840830,trafico,P1,media,30.36,1,RD1,9
1285226835945,trafico,P1,baja,26.6,1,RD1,10
1285226548299,incendio_vivienda,P4,baja,0.0,0,,11
1285226535190,trafico,P4,baja,0.0,0,,11
1285226530454,trafico,P1,media,30.36,1,RD1,9
1285226508904,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285226475135,trafico,P1,baja,26.6,1,RD1,10
1285226460925,trafico,P1,baja,26.6,1,RD1,10
