incident_id,fecha_incidente,anio,provincia_inferida,categoria_operativa_preliminar,final_label,label_model_confidence,agreement_score,was_used_in_training,vote_rules_heuristic,vote_ner_intensifiers,vote_semantic_cluster_proxy,vote_llm_as_annotator_proxy
1285014416596,2020-12-29,2020,Leon,trafico,P4,1.0,1.0,True,P4,P4,P4,P4
1285014229007,2020-12-28,2020,Zamora,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285014044520,2020-12-28,2020,Segovia,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285014010163,2020-12-26,2020,Palencia,sanitario,P2,1.0,1.0,True,P2,P2,P2,P2
1285014004015,2020-12-27,2020,Salamanca,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1285013987768,2020-12-27,2020,Palencia,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1285013982908,2020-12-26,2020,Leon,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1285013955476,2020-12-26,2020,Zamora,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1285013953469,2020-12-26,2020,Leon,sanitario,P2,0.74026,0.75,True,P2,P3,P2,P2
1285013909419,2020-12-25,2020,Leon,incendio,P1,1.0,1.0,True,P1,P1,P1,P1
1285013841032,2020-12-23,2020,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285013444300,2020-12-22,2020,Segovia,sanitario,P2,1.0,1.0,True,P2,P2,P2,P2
1285013371694,2020-12-22,2020,Salamanca,sanitario,P3,1.0,1.0,True,P3,P3,P3,P3
1285012813290,2020-12-21,2020,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285012534578,2020-12-20,2020,Leon,sanitario,P4,1.0,1.0,True,P4,P4,P4,P4
1285012474657,2020-12-19,2020,Burgos,sanitario,P2,0.74026,0.75,True,P2,P3,P2,P2
1285012471664,2020-12-19,2020,Avila,incendio,P2,0.545455,0.5,True,P1,P2,P1,P2
1285012204272,2020-12-18,2020,Leon,trafico,P2,0.74026,0.75,True,P2,P3,P2,P2
1285012058679,2020-12-17,2020,Burgos,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285011747918,2020-12-17,2020,Segovia,sanitario,P2,0.74026,0.75,True,P2,P3,P2,P2
1285011552501,2020-12-16,2020,Leon,sanitario,P1,1.0,1.0,True,P1,P1,P1,P1
1285011328090,2020-12-15,2020,Valladolid,trafico,P2,0.74026,0.75,True,P2,P3,P2,P2
1285011224682,2020-12-15,2020,Zamora,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285010744578,2020-12-14,2020,Avila,incendio,P2,1.0,1.0,True,P2,P2,P2,P2
1285010700170,2020-12-14,2020,Burgos,trafico,P2,1.0,1.0,True,P2,P2,P2,P2
1285010697519,2020-12-14,2020,Burgos,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285010681616,2020-12-14,2020,Avila,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285010266613,2020-12-13,2020,Zamora,incendio,P1,1.0,1.0,True,P1,P1,P1,P1
1285010259220,2020-12-12,2020,Leon,incendio,P2,1.0,1.0,True,P2,P2,P2,P2
1285010213588,2020-12-12,2020,Burgos,incendio,P2,1.0,1.0,True,P2,P2,P2,P2
1285010207626,2020-12-12,2020,Valladolid,trafico,P2,1.0,1.0,True,P2,P2,P2,P2
1285010143085,2020-12-11,2020,Leon,incendio,P3,1.0,1.0,True,P3,P3,P3,P3
1285009040427,2020-12-08,2020,Leon,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1285009039503,2020-12-08,2020,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285008991456,2020-12-07,2020,Burgos,sanitario,P2,0.74026,0.75,True,P2,P3,P2,P2
1285008988934,2020-12-07,2020,Leon,incendio,P2,1.0,1.0,True,P2,P2,P2,P2
1285008988793,2020-12-07,2020,Segovia,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1285008938935,2020-12-06,2020,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285008921274,2020-12-06,2020,Zamora,rescate_salvamento,P3,1.0,1.0,True,P3,P3,P3,P3
1285008911699,2020-12-06,2020,Avila,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1285008898865,2020-12-05,2020,Leon,trafico,P2,0.74026,0.75,True,P2,P3,P2,P2
1285008846811,2020-12-05,2020,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285008844327,2020-12-04,2020,Segovia,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1285008839803,2020-12-04,2020,Leon,trafico,P2,1.0,1.0,True,P2,P2,P2,P2
1285008804968,2020-12-04,2020,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
