incident_id,fecha_incidente,anio,provincia_inferida,categoria_operativa_preliminar,final_label,label_model_confidence,agreement_score,was_used_in_training,vote_rules_heuristic,vote_ner_intensifiers,vote_semantic_cluster_proxy,vote_llm_as_annotator_proxy
1284469012489,2015-09-14,2015,Burgos,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284822029341,2018-09-03,2018,Leon,sanitario,P2,1.0,1.0,True,P2,P2,P2,P2
1284185571254,2011-07-31,2011,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285044064069,2021-04-09,2021,Leon,trafico,P2,1.0,1.0,True,P2,P2,P2,P2
1284891031837,2019-09-04,2019,Valladolid,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284869517667,2019-05-12,2019,Soria,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1237541494522,2009-03-25,2009,Avila,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284187456204,2011-08-14,2011,Avila,sanitario,P3,1.0,1.0,True,P3,P3,P3,P3
1284890229367,2019-09-01,2019,Avila,sanitario,P2,1.0,1.0,True,P2,P2,P2,P2
1284390577089,2014-12-21,2014,Salamanca,sanitario,P3,0.545455,0.5,True,P2,P3,P2,P3
1284918567063,2019-12-28,2019,Burgos,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1284857565959,2019-03-15,2019,Burgos,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284276295202,2013-06-30,2013,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284468670763,2015-09-13,2015,Leon,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1284829967267,2018-10-21,2018,Leon,trafico,P2,1.0,1.0,True,P2,P2,P2,P2
1284236952652,2012-10-04,2012,Valladolid,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284827929490,2018-10-07,2018,Leon,trafico,P1,0.74026,0.75,True,P1,P2,P1,P1
1284187700412,2011-08-17,2011,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284421916541,2015-05-01,2015,Leon,sanitario,P2,0.74026,0.75,True,P2,P3,P2,P2
1284761699436,2017-11-04,2017,Salamanca,incendio,P2,1.0,1.0,True,P2,P2,P2,P2
1284970922758,2020-07-18,2020,Segovia,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1284248660749,2012-12-08,2012,Palencia,sanitario,P3,1.0,1.0,True,P3,P3,P3,P3
1284220098371,2012-05-12,2012,Palencia,sanitario,P3,1.0,1.0,True,P3,P3,P3,P3
1284275496131,2013-06-24,2013,Leon,incendio,P2,0.714286,0.75,True,P2,P2,P2,P1
1284869669726,2019-05-14,2019,Leon,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1284351574009,2014-07-27,2014,Salamanca,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1285022130559,2021-01-29,2021,Salamanca,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284870101087,2019-05-15,2019,Palencia,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
1268897019371,2010-03-20,2010,Valladolid,sanitario,P2,0.74026,0.75,True,P2,P3,P2,P2
1284167735334,2011-04-05,2011,Leon,sanitario,P1,1.0,1.0,True,P1,P1,P1,P1
1284242901689,2012-11-07,2012,Leon,trafico,P2,0.74026,0.75,True,P2,P3,P2,P2
1285128743994,2022-01-14,2022,Leon,trafico,P1,0.74026,0.75,True,P1,P2,P1,P1
1284882798673,2019-07-20,2019,Segovia,sanitario,P3,1.0,1.0,True,P3,P3,P3,P3
1284357457679,2014-08-12,2014,Burgos,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284209897737,2012-02-22,2012,Leon,trafico,P2,1.0,1.0,True,P2,P2,P2,P2
1284230642763,2012-07-21,2012,Valladolid,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284872026169,2019-05-24,2019,Valladolid,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284366210463,2014-09-13,2014,Soria,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284526955789,2016-01-22,2016,Avila,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284179567424,2011-06-17,2011,Burgos,sanitario,P3,1.0,1.0,True,P3,P3,P3,P3
1241430847874,2009-05-06,2009,Leon,trafico,P1,1.0,1.0,True,P1,P1,P1,P1
1284249660785,2012-12-17,2012,Segovia,sanitario,P3,0.545455,0.5,True,P2,P3,P2,P3
1285096726600,2021-09-29,2021,Salamanca,trafico,P3,1.0,1.0,True,P3,P3,P3,P3
